 Sequencer @ sec=0, msec=382
   Frame Sampler release 23 @ sec=8, msec=68
   Sequencer cycle 231 @ sec=8, msec=102
   Sequencer cycle 232 @ sec=8, msec=135
   Sequencer cycle 233 @ sec=8, msec=169
   Sequencer cycle 234 @ sec=8, msec=202
   Sequencer cycle 235 @ sec=8, msec=235
   Sequencer cycle 236 @ sec=8, msec=269
   Sequencer cycle 237 @ sec=8, msec=302
   Sequencer cycle 238 @ sec=8, msec=336
   Sequencer cycle 239 @ sec=8, msec=369
   Sequencer cycle 240 @ sec=8, msec=402
   Time-stamp with Image Analysis release 8 @ sec=8, msec=402
   Time-stamp Image Save to File release 8 @ sec=8, msec=402
   Frame Sampler release 24 @ sec=8, msec=402
   Send Time-stamped Image to Remote release 8 @ sec=8, msec=402
   Processed Image Save to File release 4 @ sec=8, msec=402
   Difference Image Proc release 4 @ sec=8, msec=402
   Sequencer cycle 241 @ sec=8, msec=436
   Sequencer cycle 242 @ sec=8, msec=469
   Sequencer cycle 243 @ sec=8, msec=503
   Sequencer cycle 244 @ sec=8, msec=536
   Sequencer cycle 245 @ sec=8, msec=569
   Sequencer cycle 246 @ sec=8, msec=603
   Sequencer cycle 247 @ sec=8, msec=636
   Sequencer cycle 248 @ sec=8, msec=670
   Sequencer cycle 249 @ sec=8, msec=703
   Sequencer cycle 250 @ sec=8, msec=736
   Frame Sampler release 25 @ sec=8, msec=736
   Sequencer cycle 251 @ sec=8, msec=770
   Sequencer cycle 252 @ sec=8, msec=803
   Sequencer cycle 253 @ sec=8, msec=837
   Sequencer cycle 254 @ sec=8, msec=870
   Sequencer cycle 255 @ sec=8, msec=903
   Sequencer cycle 256 @ sec=8, msec=937
   Sequencer cycle 257 @ sec=8, msec=970
 :07  Sequencer cycle 258 @ sec=9, msec=4
 :07  Sequencer cycle 259 @ sec=9, msec=37
 :07  Sequencer cycle 260 @ sec=9, msec=70
 :07  Frame Sampler release 26 @ sec=9, msec=70
 :07  Sequencer cycle 261 @ sec=9, msec=104
 :07  Sequencer cycle 262 @ sec=9, msec=137
 :07  Sequencer cycle 263 @ sec=9, msec=171
 :07  Sequencer cycle 264 @ sec=9, msec=204
 :07  Sequencer cycle 265 @ sec=9, msec=237
 :07  Sequencer cycle 266 @ sec=9, msec=271
 :07  Sequencer cycle 267 @ sec=9, msec=304
 :07  Sequencer cycle 268 @ sec=9, msec=338
 :07  Sequencer cycle 269 @ sec=9, msec=371
 :07  Sequencer cycle 270 @ sec=9, msec=404
 :07  Frame Sampler release 27 @ sec=9, msec=404
 :07  Time-stamp with Image Analysis release 9 @ sec=9, msec=404
 :07  Send Time-stamped Image to Remote release 9 @ sec=9, msec=404
 :07  Time-stamp Image Save to File release 9 @ sec=9, msec=404
 :07  Sequencer cycle 271 @ sec=9, msec=438
 :07  Sequencer cycle 272 @ sec=9, msec=471
 :07  Sequencer cycle 273 @ sec=9, msec=505
 :07  Sequencer cycle 274 @ sec=9, msec=538
 :07  Sequencer cycle 275 @ sec=9, msec=571
 :07  Sequencer cycle 276 @ sec=9, msec=605
 :07  Sequencer cycle 277 @ sec=9, msec=638
 :07  Sequencer cycle 278 @ sec=9, msec=672
 :07  Sequencer cycle 279 @ sec=9, msec=705
 :07  Sequencer cycle 280 @ sec=9, msec=738
 :07  Frame Sampler release 28 @ sec=9, msec=739
 :07  Sequencer cycle 281 @ sec=9, msec=772
 :07  Sequencer cycle 282 @ sec=9, msec=805
 :07  Sequencer cycle 283 @ sec=9, msec=839
 :07  Sequencer cycle 284 @ sec=9, msec=872
 :07  Sequencer cycle 285 @ sec=9, msec=906
 :07  Sequencer cycle 286 @ sec=9, msec=939
 :07  Sequencer cycle 287 @ sec=9, msec=972
 :08  Sequencer cycle 288 @ sec=10, msec=6
 :08  Sequencer cycle 289 @ sec=10, msec=39
 :08  Sequencer cycle 290 @ sec=10, msec=72
 :08  Frame Sampler release 29 @ sec=10, msec=73
 :08  Sequencer cycle 291 @ sec=10, msec=106
 :08  Sequencer cycle 292 @ sec=10, msec=139
 :08  Sequencer cycle 293 @ sec=10, msec=173
 :08  Sequencer cycle 294 @ sec=10, msec=206
 :08  Sequencer cycle 295 @ sec=10, msec=239
 :08  Sequencer cycle 296 @ sec=10, msec=273
